epoch,train_loss,train_acc,train_f1_macro,val_loss,val_f1_macro
1,1.5833495027983366,0.5899953249181861,0.5782357193929432,1.5987996637821198,0.4362074426391019
2,0.7028224727704158,0.791023842917251,0.7893239666523902,1.3515408408641816,0.48036356144173725
3,0.5525219379298723,0.8354371201496026,0.8354707444419812,1.1515185974538327,0.5037961820423391
4,0.46585461964358144,0.8606825619448341,0.8579996383915234,1.2000583985447884,0.4737606102755686
5,0.4193796848331518,0.8715910861773415,0.8707522950315696,1.1003291550278664,0.489777811485914
6,0.3530368202583707,0.8926289543400343,0.8923835157490057,1.042140753865242,0.45854417400706915
7,0.31027166634353237,0.9046283309957924,0.9041266338233805,1.022186102718115,0.5277747062044666
8,0.30849654753854616,0.9094592488701886,0.9082427452956672,1.0280259943194687,0.49232769502039964
9,0.3089216434308768,0.9074333800841514,0.9078229825324965,1.17074983805418,0.45883787937863796
10,0.2654603077145062,0.919588592800374,0.9186608026293551,0.9665063174068927,0.5522177060247588
