epoch,train_loss,train_acc,train_f1_macro,val_loss,val_f1_macro
1,3.245542201236706,0.28346579398472804,0.27324640059110994,2.5123700523376464,0.24930832561415284
2,1.729775915394968,0.624590930341281,0.6017829048407211,1.7574005496501923,0.39185227948924245
3,0.9705164207154838,0.7673367617266635,0.7570068929051825,1.353031109571457,0.5060217187027017
4,0.6679582266665217,0.8263986286426679,0.821697535539074,1.1549864137172698,0.5748920663550521
5,0.5261184272926245,0.8569424964936886,0.8538942534629339,0.9943409597873688,0.5788293025252343
6,0.41972088272595287,0.8877980364656382,0.8853759231269277,0.9708396154642105,0.5890273944317119
7,0.3645081191661939,0.901667445846969,0.9004541259532182,0.8869268506765365,0.5999115820094878
8,0.30870337113367385,0.9111734455352969,0.9095160201839646,0.8583090722560882,0.5801659732825086
9,0.27264418375136246,0.923172822191055,0.9237166868761961,0.8109457887709141,0.5873092747838118
10,0.22313326765871166,0.9379772479351722,0.9358047956255335,0.8095163984596729,0.5769094498990055
11,0.2347008301436308,0.9306529530933458,0.9303066087338101,0.763361447751522,0.6109524777477597
12,0.1912941632152938,0.9463923952002493,0.9476981235222312,0.7452222741395235,0.5965120156905023
13,0.17858992633757306,0.9524700015583606,0.9523927731049154,0.751383820399642,0.5995117987089108
14,0.17396809195923568,0.9518466573165031,0.9508770682246174,0.7267014725506306,0.6235201360298321
15,0.16181113571855263,0.9543400342839333,0.9535019677783082,0.7302870991826057,0.5769097816234107
16,0.14507093993177758,0.9610409848839021,0.9616670761684109,0.7152830509841442,0.6146016386936403
17,0.1447561043245134,0.9602618045815802,0.9595297176421888,0.7191263687610626,0.6112149819550409
18,0.14499639989391191,0.9602618045815802,0.9616103200828889,0.7200120198726654,0.6053007856638729
19,0.14168031007718684,0.9602618045815802,0.9609673297167839,0.6959125106036663,0.6285703424154273
20,0.12078220455152033,0.9682094436652642,0.967509244864178,0.7221837229281663,0.6143137242434991
21,0.11876443714199968,0.9699236403303725,0.9699989937765391,0.7103482733666897,0.6169531631455515
22,0.120585049548886,0.966183574879227,0.9652891494451284,0.7065647672861814,0.6183999687796328
23,0.12828654542898954,0.963378525790868,0.9635083434851732,0.6975327260792256,0.6098577347743316
24,0.1206582761300144,0.9663394109396914,0.9665689990026702,0.7105023055523634,0.6135875833805421
25,0.10997244585027445,0.9717936730559451,0.9715140193021575,0.7109948801994324,0.6159411019207631
